FACT,KWH,IMPORTE
abr-13,280,$474.00
jun-13,275,$469.00
ago-13,257,$451.00
oct-13,262,$459.00
dic-13,258,$443.00
feb-14,331,$658.00
abr-14,283,$497.00
jun-14,274,$480.00
ago-14,298,$553.00
oct-14,328,$661.00
dic-14,294,$544.00
feb-15,318,$446.00
abr-15,308,$401.00
jun-15,296,$358.00
ago-15,299,$369.00
oct-15,332,$484.00
dic-15,329,$474.00
feb-16,349,$533.00
abr-16,295,$348.00
jun-16,358,$563.00
ago-16,299,$362.00
oct-16,263,$277.00
dic-16,343,$512.00
feb-17,296,$351.00
abr-17,264,$278.00
jun-17,294,$345.00
ago-17,299,$237.00
